category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6
retirement_age,Retirement Age,C1.1,"Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 68.","Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 68.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.43% of payroll; 75th year effect: 0.71% of payroll",0.43,0.71,12,15,"Long-range effect: 0.43% of payroll","75th year effect: 0.71% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run121.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run121.html",,,,,,
retirement_age,Retirement Age,C1.2,"Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 68 for those age 62 in 2030).","Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 68 for those age 62 in 2030).","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.53% of payroll; 75th year effect: 0.71% of payroll",0.53,0.71,15,15,"Long-range effect: 0.53% of payroll","75th year effect: 0.71% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run122.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run122.html",,,,,,
retirement_age,Retirement Age,C1.3,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years.","Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.68% of payroll; 75th year effect: 1.80% of payroll",0.68,1.80,19,39,"Long-range effect: 0.68% of payroll","75th year effect: 1.80% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run123.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run123.html",,,,,,
retirement_age,Retirement Age,C1.4,"Increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2032 (NRA reaches 69 for those age 62 in 2032). Increase the age up to which delayed retirement credits may be earned from 70 to 72 on the same schedule.","Increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2032 (NRA reaches 69 for those age 62 in 2032). Increase the age up to which delayed retirement credits may be earned from 70 to 72 on the same schedule.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 1.32% of payroll; 75th year effect: 2.56% of payroll",1.32,2.56,38,55,"Long-range effect: 1.32% of payroll","75th year effect: 2.56% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run124.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run124.html",,,,,,
retirement_age,Retirement Age,C1.6,"Increase the earliest eligibility age (EEA) by 2 months per year for those age 62 starting in 2026 and ending in 2043 (EEA reaches 65 for those age 62 in 2043).","Increase the earliest eligibility age (EEA) by 2 months per year for those age 62 starting in 2026 and ending in 2043 (EEA reaches 65 for those age 62 in 2043).","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.64% of payroll; 75th year effect: 1.35% of payroll",0.64,1.35,18,29,"Long-range effect: 0.64% of payroll","75th year effect: 1.35% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run126.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run126.html",,,,,,
retirement_age,Retirement Age,C1.7,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025.","Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 1.01% of payroll; 75th year effect: 1.36% of payroll",1.01,1.36,29,29,"Long-range effect: 1.01% of payroll","75th year effect: 1.36% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run127.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run127.html",,,,,,
retirement_age,Retirement Age,C2.1,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, raise the earliest eligibility age (EEA) for retired-workers, aged widow(er)s, and disabled widow(er)s by the same amount as the NRA.","Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, raise the earliest eligibility age (EEA) for retired-workers, aged widow(er)s, and disabled widow(er)s by the same amount as the NRA.","Enhances benefits for family members; Addresses specific needs; Long-range effect: -0.10% of payroll; 75th year effect: -0.44% of payroll",-0.10,-0.44,-3,-9,"Long-range effect: -0.10% of payroll","75th year effect: -0.44% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run131.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run131.html",,,,,,
retirement_age,Retirement Age,C2.2,"Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2036 (NRA reaches 69 for those age 62 in 2036). Thereafter, increase the NRA 1 month every 2 years.","Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2036 (NRA reaches 69 for those age 62 in 2036). Thereafter, increase the NRA 1 month every 2 years.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.66% of payroll; 75th year effect: 1.51% of payroll",0.66,1.51,19,33,"Long-range effect: 0.66% of payroll","75th year effect: 1.51% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run132.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run132.html",,,,,,
retirement_age,Retirement Age,C2.3,"Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 69. Also increase the age up to which the delayed retirement credit may be earned at the same rate (from 70 to 72). No change to earliest eligibility age.","Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 69. Also increase the age up to which the delayed retirement credit may be earned at the same rate (from 70 to 72). No change to earliest eligibility age.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.49% of payroll; 75th year effect: 1.15% of payroll",0.49,1.15,14,25,"Long-range effect: 0.49% of payroll","75th year effect: 1.15% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run133.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run133.html",,,,,,
retirement_age,Retirement Age,C2.4,"Starting for those age 62 in 2025, increase both the normal retirement age (NRA) and the earliest eligibility age (EEA) by 36/47 of a month per year until the NRA and EEA reach 70 and 65 respectively. For each year, the computed NRA and EEA round down to the next lower full month.","Starting for those age 62 in 2025, increase both the normal retirement age (NRA) and the earliest eligibility age (EEA) by 36/47 of a month per year until the NRA and EEA reach 70 and 65 respectively. For each year, the computed NRA and EEA round down to the next lower full month.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.91% of payroll; 75th year effect: 1.81% of payroll",0.91,1.81,26,39,"Long-range effect: 0.91% of payroll","75th year effect: 1.81% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run134.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run134.html",,,,,,
