category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6
payroll_tax,Payroll Tax,E1.1,"Increase payroll tax rate to 16.0 percent in 2025 and later","Increase the payroll tax rate (currently 12.4 percent) to 16.0 percent in 2025 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 3.51% of payroll; 75th year effect: 3.62% of payroll",3.51,3.62,100,78,"Long-range effect: 3.51% of payroll","75th year effect: 3.62% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run151.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run151.html",,,,,,
payroll_tax,Payroll Tax,E1.2,"Increase payroll tax rate to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later","Increase the payroll tax rate (currently 12.4 percent) to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 4.13% of payroll; 75th year effect: 6.95% of payroll",4.13,6.95,118,150,"Long-range effect: 4.13% of payroll","75th year effect: 6.95% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run152.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run152.html",,,,,,
payroll_tax,Payroll Tax,E1.4,"Increase payroll tax rate by 0.1 percentage point each year from 2030-2049","Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2030-2049, until the rate reaches 14.4 percent in 2049 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 1.50% of payroll; 75th year effect: 2.02% of payroll",1.50,2.02,43,44,"Long-range effect: 1.50% of payroll","75th year effect: 2.02% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run154.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run154.html",,,,,,
payroll_tax,Payroll Tax,E1.8,"Increase payroll tax rate by 0.1 percentage point each year from 2027-2032","Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2027-2032, until the rate reaches 13.0 percent for 2032 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 0.55% of payroll; 75th year effect: 0.61% of payroll",0.55,0.61,16,13,"Long-range effect: 0.55% of payroll","75th year effect: 0.61% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run158.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run158.html",,,,,,
payroll_tax,Payroll Tax,E1.9,"Increase payroll tax rate by 0.1 percentage point each year from 2028-2051","Increase the payroll tax rate (currently 12.4 percent) by 0.1 percentage point each year from 2028-2051, until the rate reaches 14.8 percent in 2051 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 1.79% of payroll; 75th year effect: 2.42% of payroll",1.79,2.42,51,52,"Long-range effect: 1.79% of payroll","75th year effect: 2.42% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run159.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run159.html",,,,,,
payroll_tax,Payroll Tax,E1.10,"Increase payroll tax rate by 0.1 percentage point per year for 2026 through 2035","Increase the payroll tax rate by 0.1 percentage point per year for 2026 through 2035 so that it equals 13.4 percent for 2035 and later. The increase would be split evenly between the employer and employee share, and would be split between OASI and DI in proportion to currently scheduled payroll tax rates.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 0.90% of payroll; 75th year effect: 1.01% of payroll",0.90,1.01,26,22,"Long-range effect: 0.90% of payroll","75th year effect: 1.01% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run160.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run160.html",,,,,,
payroll_tax,Payroll Tax,E2.2,"Eliminate the taxable maximum with benefit credit","Eliminate the taxable maximum in years 2025 and later, and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum.","Increases revenue through payroll tax changes while maintaining benefit fairness; Long-range effect: 1.86% of payroll; 75th year effect: 1.37% of payroll",1.86,1.37,53,29,"Long-range effect: 1.86% of payroll","75th year effect: 1.37% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run162.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run162.html",,,,,,
payroll_tax,Payroll Tax,E2.4,"Phase in elimination of taxable maximum with secondary PIA formula","Eliminate the taxable maximum for years 2031 and later (phased in 2025-2031), and apply full 12.4 percent payroll tax rate to all earnings. Provide benefit credit for earnings above the current-law taxable maximum that are subject to the payroll tax, using a secondary PIA formula.","Increases revenue through payroll tax changes with progressive benefit structure; Long-range effect: 2.37% of payroll; 75th year effect: 2.49% of payroll",2.37,2.49,68,54,"Long-range effect: 2.37% of payroll","75th year effect: 2.49% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run164.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run164.html",,,,,,
payroll_tax,Payroll Tax,E2.5,"Apply 12.4% payroll tax on earnings above $250,000","Apply 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025, and tax all earnings once the current-law taxable maximum exceeds $250,000. Do not provide benefit credit for additional earnings taxed.","Increases revenue by targeting very high earners; Creates a donut hole approach; Long-range effect: 2.49% of payroll; 75th year effect: 2.60% of payroll",2.49,2.60,71,56,"Long-range effect: 2.49% of payroll","75th year effect: 2.60% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run165.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run165.html",,,,,,
payroll_tax,Payroll Tax,E2.11,"Phase in elimination of taxable maximum with 5% formula factor","Eliminate the taxable maximum in years 2030 and later. Phase in elimination by taxing all earnings above the current-law taxable maximum at increasing rates. Provide benefit credit using a secondary PIA formula with a 5 percent formula factor.","Increases revenue with incremental implementation; Long-range effect: 2.22% of payroll; 75th year effect: 2.20% of payroll",2.22,2.20,64,47,"Long-range effect: 2.22% of payroll","75th year effect: 2.20% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run171.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run171.html",,,,,,
