category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6,,,,,
cola,Cost-of-Living Adjustment,A1,"Starting December 2025, reduce the annual COLA by 1 percentage point",Reduce the annual COLA by 1 percentage point from what would otherwise be paid under current law.,Long-term reduction in benefits; Affects all current and future beneficiaries; Long-range effect: 1.95% of payroll; 75th year effect: 2.54% of payroll,1.95,2.54,56,55,Long-range effect: 1.95% of payroll,75th year effect: 2.54% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run094.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run094.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A2,"Starting December 2025, reduce the annual COLA by 0.5 percentage point",Reduce the annual COLA by 0.5 percentage point from what would otherwise be paid under current law.,Moderate reduction in benefits; Affects all current and future beneficiaries; Long-range effect: 1.01% of payroll; 75th year effect: 1.33% of payroll,1.01,1.33,29,29,Long-range effect: 1.01% of payroll,75th year effect: 1.33% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run095.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run095.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A3,"Starting December 2025, compute the COLA using a chained CPI-W","Starting December 2025, compute the COLA using a chained CPI-W, estimated to reduce COLA by -0.3 percentage points.",Moderate reduction in benefits; Affects all beneficiaries; Long-range effect: 0.62% of payroll; 75th year effect: 0.82% of payroll,0.62,0.82,18,18,Long-range effect: 0.62% of payroll,75th year effect: 0.82% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run096.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run096.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A4,"Starting December 2027, compute the COLA using a chained CPI-W (not applicable to DI benefits)","Starting December 2027, compute the COLA using a chained CPI-W (not applicable to DI benefits).",Targeted reduction in benefits; Does not affect disability benefits; Long-range effect: 0.49% of payroll; 75th year effect: 0.66% of payroll,0.49,0.66,14,14,Long-range effect: 0.49% of payroll,75th year effect: 0.66% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run097.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run097.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A5,"Starting December 2025, add 1 percentage point to COLA for beneficiaries living past a specified age","Starting December 2025, add 1 percentage point to COLA for beneficiaries living past a specified age.",Increases benefits for the oldest beneficiaries; Targets support to those with longest lifespans; Long-range effect: -0.14% of payroll; 75th year effect: -0.14% of payroll,-0.13,-0.14,-4,-3,Long-range effect: -0.14% of payroll,75th year effect: -0.14% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run098.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run098.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A6,"Starting December 2026, compute COLA using CPI-E, estimated to increase COLA by -0.2 percentage point","Starting December 2026, compute COLA using CPI-E, estimated to increase COLA by -0.2 percentage point.",Better reflects spending patterns of seniors; Typically results in higher COLAs; Long-range effect: -0.42% of payroll; 75th year effect: -0.57% of payroll,-0.42,-0.57,-12,-12,Long-range effect: -0.42% of payroll,75th year effect: -0.57% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run099.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run099.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A7,"Starting December 2025, reduce COLA by 1 point, not below zero; no carryover of unused reduction","Starting December 2025, reduce COLA by 1 point, not below zero; no carryover of unused reduction.",Limits benefit reductions in low-inflation years; Still provides substantial long-term savings; Long-range effect: 1.83% of payroll; 75th year effect: 2.39% of payroll,1.83,2.39,52,52,Long-range effect: 1.83% of payroll,75th year effect: 2.39% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run100.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run100.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A8,"COLA based on chain-weighted CPI-U for OASI only, starting December 2025","COLA based on chain-weighted CPI-U for OASI only, starting December 2025.",Targets retirement benefits only; Preserves disability benefits; Long-range effect: 0.55% of payroll; 75th year effect: 0.71% of payroll,0.55,0.71,16,15,Long-range effect: 0.55% of payroll,75th year effect: 0.71% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run101.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run101.html,,,,,,,,,,,
cola,Cost-of-Living Adjustment,A9,"For MAGI above a certain threshold, use chain-weighted CPI for COLA above threshold, starting December 2025","For MAGI above a certain threshold, use chain-weighted CPI for COLA above threshold, starting December 2025.",Progressive approach targeting higher-income beneficiaries; Protects lower-income recipients; Long-range effect: 1.3% of payroll; 75th year effect: 2.27% of payroll,1.3,2.27,37,49,Long-range effect: 1.3% of payroll,75th year effect: 2.27% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run102.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run102.html,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B1.1,Progressive price indexing (40th percentile) of PIA factors,Progressive price indexing (40th percentile) of PIA factors beginning with individuals newly eligible for OASDI in 2031.,Progressive reduction in benefits; Affects future beneficiaries only; Long-range effect: 2.96% of payroll; 75th year effect: 7.79% of payroll; Long-range shortfall eliminated: 85%; 75th year shortfall eliminated: 168%,2.96,7.79,85,168,Long-range effect: 2.96% of payroll,75th year effect: 7.79% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run103.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run103.html,,,,,,,,,,,
