payroll_tax,Payroll Tax,E2.17,"Apply payroll tax on earnings above $400,000 with AWI adjustment","Apply the combined OASDI payroll tax rate on covered earnings above $400,000 paid in 2026 and later. Increase the computed level of the AWI for years after 2025. Credit the additional earnings taxed for benefit purposes using a 1 percent formula factor.","Increases revenue with progressive benefit structure; Long-range effect: 2.30% of payroll; 75th year effect: 2.60% of payroll",2.30,2.60,66,56,"Long-range effect: 2.30% of payroll","75th year effect: 2.60% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run177.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run177.html",,,,,,
payroll_tax,Payroll Tax,E2.18,"Increase taxable maximum to 90% of earnings","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.","Increases taxable earnings base more broadly; Long-range effect: 2.18% of payroll; 75th year effect: 2.46% of payroll",2.18,2.46,62,53,"Long-range effect: 2.18% of payroll","75th year effect: 2.46% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run178.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run178.html",,,,,,
payroll_tax,Payroll Tax,E3.1,"Increase taxable maximum to 90% without benefit credit","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Do not provide benefit credit for additional earnings taxed.","Increases revenue without increasing benefits; Long-range effect: 0.84% of payroll; 75th year effect: 0.69% of payroll",0.84,0.69,24,15,"Long-range effect: 0.84% of payroll","75th year effect: 0.69% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run181.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run181.html",,,,,,
payroll_tax,Payroll Tax,E3.2,"Increase taxable maximum to 90% with benefit credit","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.","Increases revenue with proportional benefit increases; Long-range effect: 1.08% of payroll; 75th year effect: 1.19% of payroll",1.08,1.19,31,26,"Long-range effect: 1.08% of payroll","75th year effect: 1.19% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run182.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run182.html",,,,,,
payroll_tax,Payroll Tax,E3.5,"Increase taxable maximum by 2% per year starting in 2025","Increase the taxable maximum each year by an additional 2 percent beginning in 2025 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit for earnings up to the revised taxable maximum.","Gradual increase in taxable earnings base; Long-range effect: 0.70% of payroll; 75th year effect: 0.72% of payroll",0.70,0.72,20,16,"Long-range effect: 0.70% of payroll","75th year effect: 0.72% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run185.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run185.html",,,,,,
payroll_tax,Payroll Tax,E3.6,"Increase taxable maximum by 2% per year starting in 2027 without benefit credit","Increase the taxable maximum each year by an additional 2 percent beginning in 2027 until taxable earnings equal 90 percent of covered earnings. Do not provide benefit credit for additional earnings taxed.","Increases revenue without increasing benefits; Long-range effect: 0.83% of payroll; 75th year effect: 1.19% of payroll",0.83,1.19,24,26,"Long-range effect: 0.83% of payroll","75th year effect: 1.19% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run186.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run186.html",,,,,,
payroll_tax,Payroll Tax,E3.7,"Increase taxable maximum by 2% per year with 5% formula factor","Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit with a 5 percent formula factor applying above the current-law taxable maximum.","Progressive approach with greater revenue gains than benefit increases; Long-range effect: 0.72% of payroll; 75th year effect: 0.87% of payroll",0.72,0.87,21,19,"Long-range effect: 0.72% of payroll","75th year effect: 0.87% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run187.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run187.html",,,,,,
payroll_tax,Payroll Tax,E3.8,"Apply 2% payroll tax rate on earnings over $366,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032), with proportional benefit credit.","Modest additional revenue with proportional benefits; Long-range effect: 0.18% of payroll; 75th year effect: 0.10% of payroll",0.18,0.10,5,2,"Long-range effect: 0.18% of payroll","75th year effect: 0.10% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run188.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run188.html",,,,,,
payroll_tax,Payroll Tax,E3.9,"Apply 2% payroll tax rate on earnings over $366,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032). Do not provide benefit credit for additional earnings taxed.","Targets high earners with no additional benefits; Long-range effect: 0.26% of payroll; 75th year effect: 0.30% of payroll",0.26,0.30,7,6,"Long-range effect: 0.26% of payroll","75th year effect: 0.30% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run189.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run189.html",,,,,,
payroll_tax,Payroll Tax,E3.10,"Apply 2% payroll tax rate on earnings over $549,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032), with proportional benefit credit.","Very targeted approach for highest earners; Long-range effect: 0.13% of payroll; 75th year effect: 0.07% of payroll",0.13,0.07,4,2,"Long-range effect: 0.13% of payroll","75th year effect: 0.07% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run190.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run190.html",,,,,,
payroll_tax,Payroll Tax,E3.11,"Apply 2% payroll tax rate on earnings over $549,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032). Do not provide benefit credit for additional earnings taxed.","Increased revenue from highest earners; Long-range effect: 0.19% of payroll; 75th year effect: 0.22% of payroll",0.19,0.22,6,5,"Long-range effect: 0.19% of payroll","75th year effect: 0.22% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run191.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run191.html",,,,,,
