Category,Provision,Description,Long-range actuarial balance change (%),75th year annual balance change (%),Long-range shortfall eliminated (%),75th year shortfall eliminated (%)
A,A1,"Starting December 2025, reduce the annual COLA by 1 percentage point.",1.95,2.54,56,55
A,A2,"Starting December 2025, reduce the annual COLA by 0.5 percentage point.",1.01,1.33,29,29
A,A3,"Starting December 2025, compute the COLA using a chained CPI-W, estimated to reduce COLA by ~0.3 percentage point.",0.62,0.82,18,18
A,A4,"Starting December 2027, compute the COLA using a chained CPI-W (not applicable to DI benefits).",0.49,0.66,14,14
A,A5,"Starting December 2025, add 1 percentage point to COLA for beneficiaries living past a specified age.",-0.13,-0.14,-4,-3
A,A6,"Starting December 2026, compute COLA using CPI-E, estimated to increase COLA by ~0.2 percentage point.",-0.42,-0.57,-12,-12
A,A7,"Starting December 2025, reduce COLA by 1 point, not below zero; no carryover of unused reduction.",1.83,2.39,52,52
A,A8,"COLA based on chain-weighted CPI-U for OASI only, starting December 2025.",0.55,0.71,16,15
A,A9,"For MAGI below a certain threshold, use chain-weighted CPI for COLA; no COLA above threshold, starting December 2026.",1.3,2.27,37,49
B,B1.1,Progressive price indexing (40th percentile) of PIA factors beginning with individuals newly eligible for OASDI in 2031.,2.96,7.79,85,168
B,B2.1,PIA formula factors decrease due to increased longevity for those newly eligible in 2034.,0.56,1.72,16,37
C,C1.4,"Increase NRA 3 months/year from 2025 to 2032, up to age 69.",1.32,2.56,38,55
D,D4,"Alternative survivor benefit equal to 75% of combined survivor and deceased benefits, capped at average wage-indexed PIA.",-0.1,-0.11,-3,-2
E,E1.1,Increase payroll tax rate to 16.0 percent in 2025 and later.,3.51,3.62,100,78
F,F1.1,Extend OASDI coverage to newly hired State and local government employees beginning in 2026.,0.22,0.28,6,6
G,G1.1,"Invest 40% of OASDI Trust Fund assets in equities starting in 2026, phased in over 15 years.",0.33,0.33,9,7
H,H1.1,Tax up to 100% of Social Security benefits above certain income thresholds starting in 2025.,0.52,0.59,15,13
,,,,,,
"Category,Provision,Description,Long-range actuarial balance change (%),75th year annual balance change (%),Long-range shortfall eliminated (%),75th year shortfall eliminated (%)",,,,,,
"COLA Modification,Chained CPI-W COLA,Compute COLA using chained CPI-W starting Dec 2016,0.56,0,21,0",,,,,,
"COLA Modification,CPI-E COLA,Compute COLA using CPI-E starting Dec 2017,-0.38,0,-14,0",,,,,,
"PIA Adjustment,Life Expectancy PIA,Adjust PIA based on life expectancy starting 2025,0.51,0,19,0",,,,,,
"Benefit Increase,Age 85+ Benefit Increase,5% benefit increase for those 85+ starting 2016,-0.11,0,-4,0",,,,,,
"NRA Adjustment,Increase NRA to 69,Increase NRA to 69 by 2034 then adjust further,1.02,0,38,0",,,,,,
